ID,lon,lat,Elev
0011905U498,-77.38668264,45.9803372,149.2477
0011913U519,-77.41557295,45.55283809,181.0063
0011913U520,-77.45751889,45.54006035,202.4305
0011913U521,-77.53557752,45.52589392,268.5443
0011913U522,-77.56057857,45.51089401,289.8721
0011913U524,-77.73975195,45.51006103,311.3794
0011914U525,-77.76058593,45.5228389,308.0043
0011914U527,-77.85558834,45.56283938,359.9207
0011914U527A,-77.87475556,45.57589501,355.2885
0011914U528,-77.90059002,45.55506177,327.2847
0011914U529,-77.93753674,45.52006185,324.7914
0011914U531,-77.97976059,45.50506202,315.7461
0011914U533A,-78.06754162,45.49284016,329.2123
0011914U534,-78.10559831,45.49089595,344.4929
0011914U535,-78.15059977,45.5078405,367.901
0011914U536,-78.21976804,45.50784111,378.9052
0011914U537,-78.31754846,45.49089724,392.2663
0011914U538,-78.39255333,45.50783953,398.736
0011914U539,-78.41561205,45.52783742,392.5078
0011914U540,-78.51561613,45.56089028,397.9368
0011914U542,-78.63062133,45.5608861,448.9395
0011914U543,-78.71756938,45.57783055,424.3425
0011914U544,-78.72756994,45.57783052,423.4829
0011914U545,-78.77479596,45.61282973,436.8917
0011914U546,-78.81979967,45.64088438,449.8469
0011919U292G,-78.7375623,44.53589178,255.826
0011919U295G,-78.7156187,44.62783582,258.0437
0011919U296G,-78.71756319,44.64089134,263.22
0011919U297G,-78.68256118,44.72589294,275.6681
0011919U298G,-78.65561585,44.77089369,278.2629
0011919U300G,-78.64756091,44.81283846,283.5872
0011919U301G,-78.55755801,44.82589382,294.5598
0011919U302G,-78.49755544,44.88089329,300.6303
0011919U303G,-78.39977364,44.90506038,325.1437
0011919U306G,-78.25976742,44.98589465,386.3163
0011920U308G,-78.20559826,45.05783891,387.2216
0011920U309G,-78.16059644,45.08089432,410.6459
0011920U310G,-78.11559449,45.08006102,419.2489
0011920U311G,-78.05559241,45.08006265,377.4074
0011920U313G,-77.96059034,45.10506353,363.1132
0011920U314G,-77.92558833,45.09089653,355.2877
0011920U318G,-77.40973647,44.58589565,195.7146
