ID,lon,lat,Elev
0011972U312,-80.2498427,44.51588336,178.8299
0011972U311,-80.27067567,44.51782742,180.6458
0011972U310,-80.29262039,44.5208828,181.2167
0011972U308,-80.32262354,44.52504878,181.1104
0011972U307,-80.3398461,44.53504864,180.1028
0011972U306,-80.34762405,44.53588195,182.7784
0011972U305,-80.37484691,44.53504841,181.0648
0011972U304,-80.42068087,44.54588196,178.546
0011971U541,-79.72759883,44.38005342,252.0781
0011971U540,-79.63981937,44.70783177,178.3058
0011971U539,-79.64481955,44.70783177,179.9311
0011971U538,-79.64565291,44.70783177,179.0879
0011971U537,-79.65982013,44.7078318,185.2261
0011971U536,-79.66759911,44.72783159,183.2155
0011971U535,-79.67565558,44.74005359,183.4813
0011971U534,-79.71482423,44.74588685,204.5094
0011971U529,-79.77260496,44.75005326,193.748
0011971U525,-79.81066161,44.74283056,207.2114
0011971U524,-79.81760631,44.74088603,219.1226
0011971U522,-79.84982981,44.73588571,177.9876
0011971U520,-79.88066461,44.74505211,206.2893
0011971U518,-79.8898317,44.75005201,189.4786
0011971U517,-79.88566486,44.75282983,176.9895
0011971U516,-79.92761104,44.7500517,200.0782
0011971U515,-79.93261169,44.76782938,207.4193
0011971U514,-79.9376119,44.77282938,176.9875
0011971U513,-79.934834,44.76782938,202.9416
0011971U512,-79.95066783,44.76088476,180.9068
0011971U511,-79.96483509,44.76088475,227.6793
0011971U510,-79.97983569,44.75282918,238.6112
0011971U509,-79.99566951,44.73782921,231.9276
0011971U508,-79.98566847,44.7208846,230.3116
0011971U507,-79.97066791,44.70588468,234.8169
0011971U506,-79.96983455,44.7058847,235.1861
0011971U505,-79.9498337,44.67782972,225.3346
0011971U504,-79.9398332,44.66782981,220.8797
0011971U503,-79.92760984,44.65505222,233.8804
0011971U502,-79.90760752,44.63588575,214.7188
0011971U501,-79.89566267,44.61588549,204.5106
0011971U212,-79.35064245,44.65005519,223.2863
0011971U205,-79.13257667,44.49783536,230.9327
0011971U204,-79.34258991,44.74783324,221.473
0011971U203,-79.34258991,44.74783324,219.6679
0011971U200,-79.87760647,44.59783004,207.2682
0011971U199,-79.87566197,44.59505232,207.4147
0011971U198,-79.86260576,44.5808857,218.6715
0011971U197,-79.87260619,44.58005242,210.8889
0011971U196,-79.88982885,44.57283009,218.5401
0011971U195,-79.91260747,44.56088567,221.4916
0011971U194,-79.93566388,44.55283012,214.5799
0011971U193,-79.95760921,44.54283015,214.9203
0011971U192,-79.97483217,44.53505241,199.938
0011971U191,-80.00066645,44.52505221,187.3513
0011971U190,-80.09983658,44.46782924,179.716
0011971U189,-80.01566697,44.52282968,181.8424
0011971U188,-80.02261168,44.52005197,179.3183
0011971U187,-80.03483436,44.50782969,181.1724
0011971U186,-80.04761255,44.49782961,180.3946
0011971U184,-80.10761466,44.4658848,182.6652
0011971U183,-80.12261527,44.46588468,183.5917
0011971U182,-80.14261622,44.47588451,181.1238
0011971U181,-80.16567246,44.48782873,182.1365
0011971U180,-80.18067344,44.49588401,181.6403
0011971U179,-80.19761782,44.49782816,188.0894
0011971U178,-80.20761755,44.49588359,184.8917
0011971U177,-80.2248404,44.50282789,178.4527
00119713712C,-79.95983153,44.62005242,229.6601
00119713712B,-79.95983153,44.62005242,230.2174
00119713712A,-79.95983153,44.62005242,230.1502
00119713700C,-79.65759725,44.53005389,405.6683
00119713700B,-79.65759725,44.53005389,405.697
00119713700A,-79.65759725,44.53005389,406.1537
0011969UT149,-79.42479972,43.63283571,88.1827
0011969U733,-79.9848235,43.43782923,285.5894
0011969U732,-79.97760009,43.43005182,273.3884
0011969U728,-79.86481692,43.45588743,179.3987
0011968U526,-80.28567056,43.54504849,338.5469
0011968U524,-80.24983552,43.52088175,327.1837
0011968U504,-79.68565319,44.40783132,265.3267
0011968U502,-79.68481961,44.39088695,236.9023
0011968U501,-79.68981978,44.39088696,232.2013
0011968U500,-79.69759743,44.36088706,252.8044
0011967U853,-79.36980953,44.60283297,223.3436
0011967U852,-79.37064291,44.60505518,225.6735
0011967U1001,-79.06256971,43.85283815,82.4337
0011967U008,-78.95256491,43.87783773,95.8045
0011967U007,-79.08756991,43.83005978,94.7632
0011967U006,-78.9797883,43.87283842,83.0454
0011967U002,-79.07257003,43.84783803,87.0883
0011965U9504,-80.21984025,44.50838343,177.4817
0011965U630,-79.76481377,43.63783451,177.2224
0011965U629,-79.74759059,43.65089011,211.8928
0011965U628,-79.74064588,43.65783461,205.071
0011965U627,-79.69758913,43.7000573,188.7899
0011965U626,-79.64258693,43.74588998,171.3237
0011965U625,-79.67258676,43.55283513,135.5369
0011965U624,-79.62064051,43.58283538,121.0563
0011965U621,-79.66564106,43.51089019,142.1546
0011965U618,-79.69981137,43.69589068,186.4027
0011965U617,-79.7206453,43.6778351,206.923
0011965U616,-79.66758739,43.62005735,185.3871
0011965U614,-79.67980908,43.5258904,161.4297
0011965U613,-79.62758398,43.50783509,97.5502
0011965U611,-79.67758855,43.71589031,178.3348
0011965U610,-79.61064081,43.66283528,158.4828
0011965U607,-79.61758539,43.65783534,155.9924
0011965U606,-79.62758568,43.65589085,149.897
0011965U605,-79.63980844,43.6478352,160.8786
0011965U604,-79.654809,43.64283511,173.8427
0011965U603,-79.57980482,43.5578354,77.8764
0011965U602,-79.66980964,43.6358906,189.5976
0011965U601,-79.68258794,43.63089062,191.713
0011965U600,-79.69981082,43.62505723,189.3727
0011965U598,-79.72981219,43.61283489,167.3392
0011965U597,-79.77481434,43.62588986,182.1979
0011965U596,-79.74564636,43.60589027,193.908
0011965U595,-79.73564585,43.6108904,172.6669
0011965U594,-79.69758799,43.56783519,143.0971
0011965U593,-79.6598075,43.50589015,137.1614
0011965U592,-79.57980576,43.61283566,115.2816
0011965U591,-79.60258438,43.59283555,119.6919
0011965U590,-79.67064156,43.51505698,148.5745
0011965U589,-79.6006386,43.53783507,77.3784
0011965U588,-79.7656473,43.62089002,185.6298
0011965U587,-79.72981231,43.59505704,167.7901
0011965U586,-79.72258975,43.59005705,166.2041
0011965U585,-79.71258906,43.58089056,162.6685
0011965U584,-79.7106445,43.58005723,161.5547
0011965U583,-79.71064441,43.5758906,153.7953
0011965U582,-79.76481377,43.63783451,173.2816
0011965U581,-79.76064676,43.64505671,186.5112
0011965U580,-79.7506463,43.64783454,208.0448
0011965U579,-79.73759005,43.66089026,210.0943
0011965U578,-79.73258967,43.665057,212.4496
0011965U577,-79.71758906,43.65589057,207.2935
0011965U576,-79.71064462,43.6500572,205.03
0011965U575,-79.7056444,43.64589045,203.3633
0011965U574,-79.69981098,43.64089046,200.4478
0011965U573,-79.69064405,43.63505729,202.205
0011965U571,-79.66758741,43.61783515,184.1125
0011965U570,-79.66064271,43.61283526,177.3831
0011965U567,-79.68064428,43.71283478,183.7841
0011965U566,-79.67758856,43.71505698,181.3099
0011965U565,-79.66481016,43.73005688,171.092
0011965U564,-79.65758756,43.73589012,175.8358
0011965U563,-79.6475871,43.74505666,174.3013
0011965U561,-79.62758514,43.57283536,116.0502
0011965U560,-79.63564098,43.56283535,132.2982
0011965U558,-79.66480862,43.5400573,131.1257
0011965U557,-79.60980536,43.53089048,93.0925
0011965U556,-79.63258404,43.48783507,91.8594
0011965U555,-79.62758395,43.5150572,96.717
